PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
18,"Alberts Krūmiņš",13,2870,7863,105201,"",10,2,2,110194
19,"Andris Ceļmalnieks",20,2092,7124,105162,"",10,2,2,110194
20,"Artūrs Hercogs",25,2498,7590,105102,"",10,2,2,110194
21,"Pēteris Ontužāns",22,2925,8046,105073,"",10,2,2,110194
22,"Ilgonis Leišavnieks",23,2404,7535,105063,"",10,2,2,110194
23,"Kārlis Kamradzis",21,2184,7337,105041,"",10,2,2,110194
24,"Sandra Vilsone",14,1974,7252,104916,"",10,2,2,110194
25,"Ilze Bule",27,2181,7470,104905,"",10,2,2,110194
26,"Inese Muhka",11,2734,8118,104810,"",10,2,2,110194
27,"Jānis Siliņš",28,2799,8295,104698,"",10,2,2,110194
28,"Sanita Megere-Klevinska",29,1798,8113,103879,"",10,2,2,110194
29,"Igors Aleksandrovs",16,3226,9931,103489,"",10,2,2,110194
30,"Ieva Akuratere",30,8559,20110,98643,"",10,2,2,110194
1,"Aleksejs Loskutovs",1,8643,1263,26611,ievēlēts,10,2,3,19231
2,"Kārlis Šadurskis",19,3712,2391,20552,ievēlēts,10,2,3,19231
3,"Sarmīte Ķikuste",3,3265,2066,20430,"",10,2,3,19231
4,"Līvija Plavinska",2,2588,1861,19958,"",10,2,3,19231
5,"Juris Viļums",8,1902,1798,19335,"",10,2,3,19231
6,"Aldis Cimoška",10,2035,2063,19203,"",10,2,3,19231
7,"Ināra Dundure",5,1970,2012,19189,"",10,2,3,19231
8,"Gundega Rancāne",7,1796,2006,19021,"",10,2,3,19231
9,"Maija Spūle",18,1555,2078,18708,"",10,2,3,19231
10,"Pēteris Rožinskis",16,1426,2044,18613,"",10,2,3,19231
11,"Jānis Zaščirinskis",4,1141,2130,18242,"",10,2,3,19231
12,"Jānis Bordāns",11,876,2005,18102,"",10,2,3,19231
13,"Juris Jerums",15,676,2011,17896,"",10,2,3,19231
14,"Edijs Ostrovskis",6,738,2077,17892,"",10,2,3,19231
15,"Ilona Džigure",17,802,2175,17858,"",10,2,3,19231
16,"Ligita Azovska",9,712,2101,17842,"",10,2,3,19231
17,"Mārtiņš Ķeņģis",12,566,2030,17767,"",10,2,3,19231
18,"Tatjana Verjē",14,687,2257,17661,"",10,2,3,19231
19,"Vjačeslavs Novikovs",13,798,2454,17575,"",10,2,3,19231
1,"Solvita Āboltiņa",1,11758,4344,45797,ievēlēts,10,2,4,38383
2,"Janīna Kursīte-Pakule",4,6661,2195,42849,ievēlēts,10,2,4,38383
3,"Ingrīda Circene",7,6740,4774,40349,ievēlēts,10,2,4,38383
4,"Silva Bendrāte",2,4241,3370,39254,ievēlēts,10,2,4,38383
5,"Didzis Konuševskis",6,3300,2754,38929,"",10,2,4,38383
6,"Karīna Korna",3,2859,2426,38816,"",10,2,4,38383
7,"Gunārs Laicāns",9,2621,2681,38323,"",10,2,4,38383
