PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
12,12,Uģis,Rotbergs,Male,10,2,Vienotība,1,Rīga,85832,3530,4056,85306,""
13,3,Sarmīte,Veide,Female,10,2,Vienotība,1,Rīga,85832,5153,5844,85141,""
14,29,Inese,Kalniņa,Female,10,2,Vienotība,1,Rīga,85832,2954,3755,85031,""
15,7,Sanita,Stelpe,Female,10,2,Vienotība,1,Rīga,85832,3628,4455,85005,""
16,28,Rolands,Irklis,Male,10,2,Vienotība,1,Rīga,85832,2684,3865,84651,""
17,22,Kristīne,Drēviņa,Female,10,2,Vienotība,1,Rīga,85832,2529,3793,84568,""
18,17,Iluta,Lāce,Female,10,2,Vienotība,1,Rīga,85832,3075,4364,84543,""
19,19,Antra,Sakne,Female,10,2,Vienotība,1,Rīga,85832,2908,4344,84396,""
20,18,Kārlis,Strēlis,Male,10,2,Vienotība,1,Rīga,85832,3580,5045,84367,""
21,9,"Hosams Abu",Meri,Male,10,2,Vienotība,1,Rīga,85832,8059,9674,84217,""
22,27,Valdis,Krastiņš,Male,10,2,Vienotība,1,Rīga,85832,2879,4494,84217,""
23,14,Normunds,Orleāns,Male,10,2,Vienotība,1,Rīga,85832,2641,4738,83735,""
24,21,Guntis,Stirna,Male,10,2,Vienotība,1,Rīga,85832,2080,4224,83688,""
25,32,Uģis,Resnis,Male,10,2,Vienotība,1,Rīga,85832,2472,4767,83537,""
26,15,Rimants,Ziedonis,Male,10,2,Vienotība,1,Rīga,85832,5411,7796,83447,""
27,23,Juris,Zvirbulis,Male,10,2,Vienotība,1,Rīga,85832,2010,4539,83303,""
28,31,Dainis,Rītiņš,Male,10,2,Vienotība,1,Rīga,85832,1818,4415,83235,""
29,5,Olafs,Pulks,Male,10,2,Vienotība,1,Rīga,85832,9210,11821,83221,""
30,24,Marija,Balcere,Female,10,2,Vienotība,1,Rīga,85832,1984,4801,83015,""
31,30,Raimonds,Rublovskis,Male,10,2,Vienotība,1,Rīga,85832,1857,4712,82977,""
32,26,Modris,Jaunups,Male,10,2,Vienotība,1,Rīga,85832,3679,12399,77112,""
1,1,Valdis,Dombrovskis,Male,10,2,Vienotība,2,Vidzeme,110194,77168,1327,186035,ievēlēts
2,2,Artis,Pabriks,Male,10,2,Vienotība,2,Vidzeme,110194,30182,7245,133131,ievēlēts
3,3,Ilma,Čepāne,Female,10,2,Vienotība,2,Vidzeme,110194,25764,6821,129137,ievēlēts
4,7,Ainars,Latkovskis,Male,10,2,Vienotība,2,Vidzeme,110194,11764,6904,115054,ievēlēts
5,6,Ina,Druviete,Female,10,2,Vienotība,2,Vidzeme,110194,14419,10495,114118,ievēlēts
6,12,Andris,Vilks,Male,10,2,Vienotība,2,Vidzeme,110194,7054,6579,110669,ievēlēts
7,5,Edvards,Smiltēns,Male,10,2,Vienotība,2,Vidzeme,110194,6000,6805,109389,ievēlēts
8,17,Dzintars,Ābiķis,Male,10,2,Vienotība,2,Vidzeme,110194,11016,11969,109241,ievēlēts
9,4,Arvils,Ašeradens,Male,10,2,Vienotība,2,Vidzeme,110194,6394,8487,108101,ievēlēts
10,19,Guntars,Galvanovskis,Male,10,2,Vienotība,2,Vidzeme,110194,4883,7499,107578,ievēlēts
11,18,Dzintra,Hirša,Female,10,2,Vienotība,2,Vidzeme,110194,4868,7769,107293,ievēlēts
12,24,Ingmārs,Čaklais,Male,10,2,Vienotība,2,Vidzeme,110194,6070,9365,106899,ievēlēts
13,9,Ilze,Vergina,Female,10,2,Vienotība,2,Vidzeme,110194,4353,8026,106521,""
14,8,Liene,Liepiņa,Female,10,2,Vienotība,2,Vidzeme,110194,4233,8257,106170,""
15,26,Andis,Caunītis,Male,10,2,Vienotība,2,Vidzeme,110194,2844,7235,105803,""
16,10,Ainārs,Šteins,Male,10,2,Vienotība,2,Vidzeme,110194,2939,7525,105608,""
17,15,Juris,Žūriņš,Male,10,2,Vienotība,2,Vidzeme,110194,3229,8062,105361,""
18,13,Alberts,Krūmiņš,Male,10,2,Vienotība,2,Vidzeme,110194,2870,7863,105201,""
19,20,Andris,Ceļmalnieks,Male,10,2,Vienotība,2,Vidzeme,110194,2092,7124,105162,""
20,25,Artūrs,Hercogs,Male,10,2,Vienotība,2,Vidzeme,110194,2498,7590,105102,""
21,22,Pēteris,Ontužāns,Male,10,2,Vienotība,2,Vidzeme,110194,2925,8046,105073,""
22,23,Ilgonis,Leišavnieks,Male,10,2,Vienotība,2,Vidzeme,110194,2404,7535,105063,""
23,21,Kārlis,Kamradzis,Male,10,2,Vienotība,2,Vidzeme,110194,2184,7337,105041,""
24,14,Sandra,Vilsone,Female,10,2,Vienotība,2,Vidzeme,110194,1974,7252,104916,""
25,27,Ilze,Bule,Female,10,2,Vienotība,2,Vidzeme,110194,2181,7470,104905,""
26,11,Inese,Muhka,Female,10,2,Vienotība,2,Vidzeme,110194,2734,8118,104810,""
27,28,Jānis,Siliņš,Male,10,2,Vienotība,2,Vidzeme,110194,2799,8295,104698,""
28,29,Sanita,Megere-Klevinska,Female,10,2,Vienotība,2,Vidzeme,110194,1798,8113,103879,""
29,16,Igors,Aleksandrovs,Male,10,2,Vienotība,2,Vidzeme,110194,3226,9931,103489,""
30,30,Ieva,Akuratere,Female,10,2,Vienotība,2,Vidzeme,110194,8559,20110,98643,""
1,1,Aleksejs,Loskutovs,Male,10,2,Vienotība,3,Latgale,19231,8643,1263,26611,ievēlēts
2,19,Kārlis,Šadurskis,Male,10,2,Vienotība,3,Latgale,19231,3712,2391,20552,ievēlēts
3,3,Sarmīte,Ķikuste,Female,10,2,Vienotība,3,Latgale,19231,3265,2066,20430,""
4,2,Līvija,Plavinska,Female,10,2,Vienotība,3,Latgale,19231,2588,1861,19958,""
5,8,Juris,Viļums,Male,10,2,Vienotība,3,Latgale,19231,1902,1798,19335,""
6,10,Aldis,Cimoška,Male,10,2,Vienotība,3,Latgale,19231,2035,2063,19203,""
7,5,Ināra,Dundure,Female,10,2,Vienotība,3,Latgale,19231,1970,2012,19189,""
8,7,Gundega,Rancāne,Female,10,2,Vienotība,3,Latgale,19231,1796,2006,19021,""
9,18,Maija,Spūle,Female,10,2,Vienotība,3,Latgale,19231,1555,2078,18708,""
10,16,Pēteris,Rožinskis,Male,10,2,Vienotība,3,Latgale,19231,1426,2044,18613,""
11,4,Jānis,Zaščirinskis,Male,10,2,Vienotība,3,Latgale,19231,1141,2130,18242,""
12,11,Jānis,Bordāns,Male,10,2,Vienotība,3,Latgale,19231,876,2005,18102,""
13,15,Juris,Jerums,Male,10,2,Vienotība,3,Latgale,19231,676,2011,17896,""
14,6,Edijs,Ostrovskis,Male,10,2,Vienotība,3,Latgale,19231,738,2077,17892,""
15,17,Ilona,Džigure,Female,10,2,Vienotība,3,Latgale,19231,802,2175,17858,""
16,9,Ligita,Azovska,Female,10,2,Vienotība,3,Latgale,19231,712,2101,17842,""
