"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"134",7,24,"Kārlis","Albergs","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,663,410,14787," "
"135",8,15,"Ivars","Āboltiņš","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,556,388,14702," "
"136",9,12,"Aleksandrs","Lielmežs","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,631,467,14698," "
"137",10,8,"Gunārs","Resnais","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,691,566,14659," "
"138",11,7,"Juris","Bērziņš","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,546,442,14638," "
"139",12,6,"Jānis","Ruško","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,615,625,14524," "
"140",13,23,"Mārtiņš","Treimanis","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,407,429,14512," "
"141",14,11,"Austra","Gailīte","Female",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,463,517,14480," "
"142",15,19,"Māris","Jansons","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,348,410,14472," "
"143",16,20,"Andrejs","Kārklis","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,325,425,14434," "
"144",17,21,"Normunds","Audzišs","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,294,434,14394," "
"145",18,18,"Anita","Stankēviča","Female",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,637,779,14392," "
"146",19,10,"Māris","Sloka","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,301,451,14384," "
"147",20,17,"Juris","Tukišs","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,309,466,14377," "
"148",21,22,"Veronika","Jurča","Female",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,408,585,14357," "
"149",22,14,"Jānis","Plūmīte","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,236,452,14318," "
